NAME,VARLABEL,TYPE,TROLL,DISENGAGED,CONJUNCTIONS,CONJUNCTION NOTES,WHY TROLL? FIRST REVIEWER NOTES,WHY DISENGAGED? FIRST REVIEWER NOTES,CONJUNCTION/TROLL SECOND REVIEWER PASS/FAIL,SECOND REVIEWER PASS/FAIL REASONING
ST260Q02JA,Have you ever missed school for more than three months in a row: At [ISCED 2],NUM,0,1,,,,Question style†,,
ST260Q03JA,Have you ever missed school for more than three months in a row: At [ISCED 3],NUM,0,1,,,,Question style†,,
ST261Q01JA,Why miss school for 3+ months: I was bored.,NUM,0,0,,,,,,
ST261Q02JA,"Why miss school for 3+ months: I was suspended for something (e.g. violence, aggression, use of drugs, drug dealing).",NUM,1,0,,,This answer may be given as a form of false bravado,,,
ST261Q03JA,Why miss school for 3+ months: I was pregnant.,NUM,1,0,,,Boys could claim to have missed school because of pregnancy,,,
ST261Q04JA,Why miss school for 3+ months: I could not reach school because of transportation problems.,NUM,0,0,,,,,,
ST261Q05JA,Why miss school for 3+ months: I had to take care of a family member.,NUM,0,0,,,,,,
ST261Q06JA,"Why miss school for 3+ months: I had to help with work at home, the family business, or on the family land.",NUM,0,0,,,,,,
ST261Q07JA,Why miss school for 3+ months: I had to get work to bring money home.,NUM,0,0,,,,,,
ST261Q08JA,Why miss school for 3+ months: I was sick.,NUM,0,0,,,,,,
ST261Q09JA,Why miss school for 3+ months: I did not feel safe at school.,NUM,0,0,,,,,,
ST261Q10JA,Why miss school for 3+ months: I could not pay [school fees].,NUM,1,0,,,Pupils who do not go to fee paying school may find it amusing to answer as if they do.,,,
ST261Q11JA,"Why miss school for 3+ months: School was closed because of a natural disaster (e.g. flood, earthquake).",NUM,0,1,,,,Pupils may incorrectly consider COVID a natural disaster when answering quickly.,,
ST062Q01TA,"In the last two full weeks of school, how often: I [skipped] a whole school day",NUM,0,1,,,,Question style†,,
ST062Q02TA,"In the last two full weeks of school, how often: I [skipped] some classes",NUM,0,1,,,,Question style†,,
ST062Q03TA,"In the last two full weeks of school, how often: I arrived late for school",NUM,0,1,,,,Question style†,,
ST267Q01JA,Agree/disagree: The teachers at my school are respectful towards me.,NUM,0,1,,,,Question style†,,
ST267Q02JA,"Agree/disagree: If I walked into my classes upset, my teachers would be concerned about me.",NUM,0,1,,,,Question style†,,
ST267Q03JA,"Agree/disagree: If I came back to visit my school 3 years from now, my teachers would be excited to see me.",NUM,0,1,,,,Question style†,,
ST267Q04JA,Agree/disagree: I feel intimidated by the teachers at my school.,NUM,0,1,,,,Question style†,,
ST267Q05JA,"Agree/disagree: When my teachers ask how I am doing, they are really interested in my answer.",NUM,0,1,,,,Question style†,,
ST267Q06JA,Agree/disagree: The teachers at my school are friendly towards me.,NUM,0,1,,,,Question style†,,
ST267Q07JA,Agree/disagree: The teachers at my school are interested in students' well-being.,NUM,0,1,,,,Question style†,,
ST267Q08JA,Agree/disagree: The teachers at my school are mean towards me.,NUM,0,1,,,,Question style†,,
ST034Q01TA,Agree/disagree:  I feel like an outsider (or left out of things) at school.,NUM,0,1,,,,Question style†,,
ST034Q02TA,Agree/disagree:  I make friends easily at school.,NUM,0,1,,,,Question style†,,
ST034Q03TA,Agree/disagree:  I feel like I belong at school.,NUM,0,1,,,,Question style†,,
ST034Q04TA,Agree/disagree:  I feel awkward and out of place in my school.,NUM,0,1,,,,Question style†,,
ST034Q05TA,Agree/disagree:  Other students seem to like me.,NUM,0,1,,,,Question style†,,
ST034Q06TA,Agree/disagree:  I feel lonely at school.,NUM,0,1,,,,Question style†,,
ST038Q03NA,"In past 12 months, how often: Other students left me out of things on purpose.",NUM,0,1,,,,Question style†,,
ST038Q04NA,"In past 12 months, how often: Other students made fun of me.",NUM,0,1,,,,Question style†,,
ST038Q05NA,"In past 12 months, how often: I was threatened by other students.",NUM,0,1,,,,Question style†,,
ST038Q06NA,"In past 12 months, how often: Other students took away or destroyed things that belonged to me.",NUM,0,1,,,,Question style†,,
ST038Q07NA,"In past 12 months, how often: I got hit or pushed around by other students.",NUM,0,1,,,,Question style†,,
ST038Q08NA,"In past 12 months, how often: Other students spread nasty rumours about me.",NUM,0,1,,,,Question style†,,
